h3_cell,lat,lon
892a1008803ffff,40.79782295730972,-73.97475203687152
892a1008807ffff,40.79523794339453,-73.97250902990328
892a100880fffff,40.795122776260655,-73.97678906663745
892a1008813ffff,40.80052318923317,-73.97271477596826
892a1008817ffff,40.79793804844384,-73.97047175574073
892a1008823ffff,40.789953046698166,-73.97230333019724
892a1008827ffff,40.78736824871378,-73.97006083835718
892a100882bffff,40.78983788594548,-73.97658288490179
892a100882fffff,40.78725317030209,-73.97434015542497
892a1008833ffff,40.79265297399342,-73.97026627390053
892a1008837ffff,40.79006804912875,-73.96802376882803
892a100883bffff,40.792537889221244,-73.97454607294559
892a1008867ffff,40.78972256687171,-73.98086243289394
892a1008877ffff,40.79242264610749,-73.97882586530018
892a1008883ffff,40.803338411084496,-73.96639651391814
892a1008887ffff,40.80075306105909,-73.96415371825476
892a100888bffff,40.80322347200951,-73.97067728389345
892a100888fffff,40.80063820434767,-73.96843425042374
892a1008893ffff,40.80603866863279,-73.9643585461897
892a1008897ffff,40.80345319173592,-73.96211573734033
892a100889bffff,40.80592380561719,-73.9686395606129
892a10088a3ffff,40.795467802575054,-73.96394893647737
892a10088a7ffff,40.792882668508945,-73.96170665593014
892a10088abffff,40.79535295216634,-73.96822898650066
892a10088afffff,40.792767900422994,-73.9659864682128
892a10088b3ffff,40.79816775556336,-73.9619111735875
892a10088b7ffff,40.795582494619644,-73.95966887988108
892a10088bbffff,40.7980529811954,-73.96619146796348
892a1008903ffff,40.77972879548113,-73.95905625713573
892a1008907ffff,40.777144093633645,-73.9568150061859
892a100890bffff,40.77961412221612,-73.96333486793449
892a100890fffff,40.77702950260984,-73.96109337937528
892a1008913ffff,40.78242813923825,-73.95701890387848
892a1008917ffff,40.779843310500866,-73.95477763982299
892a100891bffff,40.7823135419767,-73.9612977588396
892a1008923ffff,40.771860397370624,-73.95661115441823
892a1008927ffff,40.769275911782316,-73.95437041794992
892a100892bffff,40.77174581258311,-73.96088904594423
892a100892fffff,40.76916140919525,-73.95864807193213
892a1008933ffff,40.7745594364566,-73.954574005955
892a1008937ffff,40.771974823972286,-73.95233325640773
892a100893bffff,40.77444492765391,-73.95885214154829
892a1008943ffff,40.782083872660436,-73.96985544909506
892a1008947ffff,40.779499290706866,-73.96761347217155
892a100894bffff,40.78196880060775,-73.974134284294
892a100894fffff,40.779384300954376,-73.97189206979928
892a1008953ffff,40.78478349529043,-73.9678185973902
892a1008957ffff,40.78219878645044,-73.96557660726104
892a100895bffff,40.78466849919962,-73.97209767683445
892a1008963ffff,40.77421543543356,-73.96740839315652
892a1008967ffff,40.77163106961075,-73.96516693093803
892a100896bffff,40.77410045201792,-73.97168650907608
892a100896fffff,40.77151616845454,-73.96944480935197
892a1008973ffff,40.776914753361254,-73.96537174602872
892a1008977ffff,40.77433026064589,-73.96313027063135
892a100897bffff,40.77679984588887,-73.96965010609853
892a1008983ffff,40.78524189681172,-73.9507022139589
892a1008987ffff,40.78265685896314,-73.94846117452802
892a100898bffff,40.78512753385969,-73.95498131956943
892a100898fffff,40.78254257823406,-73.95274004242538
892a1008993ffff,40.78794126621234,-73.94866415438945
892a1008997ffff,40.785356101476545,-73.94642310192611
892a100899bffff,40.787826979323974,-73.95294350417443
