h3_cell,poi_subway,poi_dining,poi_retail,poi_office,poi_tourism,poi_school,poi_nightlife,poi_total,poi_density_score
892a1008db3ffff,0,1,2,0,0,1,0,4,1.79
892a1008db7ffff,0,0,4,0,0,2,0,6,2.68
892a1008dbbffff,1,2,6,0,0,0,0,9,4.02
892a1008dc3ffff,0,6,6,1,0,1,0,14,6.25
892a1008dc7ffff,0,0,0,0,0,0,0,0,0.0
892a1008dcbffff,0,8,4,0,1,2,0,15,6.7
892a1008dcfffff,0,9,6,0,1,0,0,16,7.14
892a1008dd3ffff,2,12,17,0,2,2,0,35,15.62
892a1008dd7ffff,0,5,13,2,0,1,0,21,9.38
892a1008ddbffff,0,6,21,1,2,0,0,30,13.39
892a100a103ffff,0,1,0,0,0,0,0,1,0.45
892a100a107ffff,1,3,7,0,0,0,0,11,4.91
892a100a10bffff,0,0,0,0,0,0,0,0,0.0
892a100a10fffff,0,0,0,0,0,0,0,0,0.0
892a100a117ffff,1,0,0,0,0,0,0,1,0.45
892a100a123ffff,0,0,0,0,0,0,0,0,0.0
892a100a12bffff,1,2,0,0,0,0,0,3,1.34
892a100a12fffff,0,0,0,0,0,1,0,1,0.45
892a100a133ffff,0,0,0,0,0,0,0,0,0.0
892a100a13bffff,0,5,3,1,0,1,0,10,4.46
892a100a143ffff,0,0,0,0,0,0,0,0,0.0
892a100a147ffff,0,0,0,0,0,0,0,0,0.0
892a100a14fffff,0,0,0,0,0,0,0,0,0.0
892a100a157ffff,0,0,0,0,0,0,0,0,0.0
892a100a163ffff,0,0,0,0,0,0,0,0,0.0
892a100a167ffff,0,1,2,0,0,4,0,7,3.12
892a100a16bffff,0,2,3,0,0,0,0,5,2.23
892a100a16fffff,1,14,8,1,0,0,0,24,10.71
892a100a173ffff,0,0,0,0,0,0,0,0,0.0
892a100a177ffff,1,5,8,0,1,1,0,16,7.14
892a100a17bffff,0,0,0,0,0,0,0,0,0.0
892a100a1abffff,0,0,0,0,0,0,0,0,0.0
892a100aa03ffff,0,5,1,0,0,0,0,6,2.68
892a100aa07ffff,1,6,4,0,1,1,0,13,5.8
892a100aa0fffff,0,0,0,0,0,0,0,0,0.0
892a100aa13ffff,0,0,0,0,0,0,0,0,0.0
892a100aa17ffff,0,1,1,0,0,1,0,3,1.34
892a100aa1bffff,0,0,0,0,0,0,0,0,0.0
892a100aa23ffff,0,4,1,0,0,0,0,5,2.23
892a100aa27ffff,0,0,6,0,0,0,0,6,2.68
892a100aa2bffff,0,14,2,1,0,1,0,18,8.04
892a100aa2fffff,1,6,3,0,1,1,0,12,5.36
892a100aa33ffff,1,2,4,0,2,1,0,10,4.46
892a100aa37ffff,0,1,0,0,0,0,0,1,0.45
892a100aa3bffff,0,2,1,0,0,1,0,4,1.79
892a100aa67ffff,0,2,1,0,0,0,0,3,1.34
892a100aa6fffff,0,1,0,0,0,0,0,1,0.45
892a100aa77ffff,0,5,1,0,0,0,0,6,2.68
892a100aa83ffff,1,6,4,0,0,2,0,13,5.8
892a100aa87ffff,0,0,0,0,0,2,0,2,0.89
892a100aa8bffff,1,0,2,0,0,0,0,3,1.34
892a100aa8fffff,1,6,2,0,1,1,0,11,4.91
892a100aa93ffff,0,1,2,1,0,0,0,4,1.79
892a100aa97ffff,0,1,1,0,0,0,0,2,0.89
892a100aa9bffff,0,11,5,1,0,0,0,17,7.59
