h3_cell,period,tlc_yellow_trips,tlc_yellow_avg_fare,tlc_hvfhv_trips,tlc_hvfhv_avg_fare,tlc_trip_count,tlc_load_score,survey_date
892a1008807ffff,AM,6.984100877192982,26.443930143411635,43.63179824561404,25.296831052824537,50.615899122807015,6.35,reference
892a1008807ffff,EARLY,9.785745614035086,30.39166690934809,43.84276315789474,27.01804907241349,53.62850877192982,6.72,reference
892a1008807ffff,EVE,37.10603070175439,22.077305442514582,120.96436403508773,25.58700244126279,158.0703947368421,19.82,reference
892a1008807ffff,MD,19.32160087719298,27.084463483691167,67.3390350877193,27.235190076741283,86.66063596491227,10.86,reference
892a1008807ffff,NIGHT,9.237609649122808,20.306401684981687,43.37006578947368,27.3513730745182,52.60767543859649,6.6,reference
892a1008807ffff,PM,37.27456140350877,24.453602823246374,102.28793859649122,27.60017776594645,139.5625,17.5,reference
892a100880fffff,AM,0.1104166666666666,33.995849056603774,6.1125,20.764478527607363,6.222916666666666,0.78,reference
892a100880fffff,EARLY,0.0541666666666666,43.408076923076926,4.2375,20.743908554572272,4.291666666666666,0.54,reference
892a100880fffff,EVE,0.0604166666666666,25.95586206896552,10.885416666666666,16.266585645933016,10.945833333333333,1.37,reference
892a100880fffff,MD,0.08125,35.27025641025641,7.491666666666666,19.30983314794216,7.572916666666666,0.95,reference
892a100880fffff,NIGHT,0.0270833333333333,18.76615384615385,4.14375,15.292252388134742,4.170833333333333,0.52,reference
892a100880fffff,PM,0.0833333333333333,30.1275,10.1125,17.833044911413268,10.195833333333336,1.28,reference
892a1008823ffff,AM,6.984100877192982,26.443930143411635,43.63179824561404,25.296831052824537,50.615899122807015,6.35,reference
892a1008823ffff,EARLY,9.785745614035086,30.39166690934809,43.84276315789474,27.01804907241349,53.62850877192982,6.72,reference
892a1008823ffff,EVE,37.10603070175439,22.077305442514582,120.96436403508773,25.58700244126279,158.0703947368421,19.82,reference
892a1008823ffff,MD,19.32160087719298,27.084463483691167,67.3390350877193,27.235190076741283,86.66063596491227,10.86,reference
892a1008823ffff,NIGHT,9.237609649122808,20.306401684981687,43.37006578947368,27.3513730745182,52.60767543859649,6.6,reference
892a1008823ffff,PM,37.27456140350877,24.453602823246374,102.28793859649122,27.60017776594645,139.5625,17.5,reference
892a1008827ffff,AM,6.984100877192982,26.443930143411635,43.63179824561404,25.296831052824537,50.615899122807015,6.35,reference
892a1008827ffff,EARLY,9.785745614035086,30.39166690934809,43.84276315789474,27.01804907241349,53.62850877192982,6.72,reference
892a1008827ffff,EVE,37.10603070175439,22.077305442514582,120.96436403508773,25.58700244126279,158.0703947368421,19.82,reference
892a1008827ffff,MD,19.32160087719298,27.084463483691167,67.3390350877193,27.235190076741283,86.66063596491227,10.86,reference
892a1008827ffff,NIGHT,9.237609649122808,20.306401684981687,43.37006578947368,27.3513730745182,52.60767543859649,6.6,reference
892a1008827ffff,PM,37.27456140350877,24.453602823246374,102.28793859649122,27.60017776594645,139.5625,17.5,reference
