h3_cell,period,citibike_trip_count,citibike_load_score,survey_date
892a100892fffff,EARLY,89,3.89,reference
892a100892fffff,EVE,441,19.43,reference
892a100892fffff,MD,434,19.13,reference
892a100892fffff,NIGHT,61,2.65,reference
892a100892fffff,PM,589,25.97,reference
892a1008933ffff,AM,209,9.19,reference
892a1008933ffff,EARLY,62,2.69,reference
892a1008933ffff,EVE,190,8.35,reference
892a1008933ffff,MD,214,9.41,reference
892a1008933ffff,NIGHT,42,1.81,reference
892a1008933ffff,PM,252,11.09,reference
892a1008937ffff,AM,429,18.9,reference
892a1008937ffff,EARLY,111,4.86,reference
892a1008937ffff,EVE,255,11.22,reference
892a1008937ffff,MD,243,10.69,reference
892a1008937ffff,NIGHT,31,1.33,reference
892a1008937ffff,PM,352,15.5,reference
892a100893bffff,AM,197,8.66,reference
892a100893bffff,EARLY,72,3.14,reference
892a100893bffff,EVE,163,7.16,reference
892a100893bffff,MD,190,8.35,reference
892a100893bffff,NIGHT,32,1.37,reference
892a100893bffff,PM,241,10.6,reference
892a1008943ffff,AM,155,6.8,reference
892a1008943ffff,EARLY,49,2.12,reference
892a1008943ffff,EVE,130,5.7,reference
892a1008943ffff,MD,189,8.3,reference
892a1008943ffff,NIGHT,29,1.24,reference
892a1008943ffff,PM,247,10.87,reference
892a100894fffff,AM,155,6.8,reference
892a100894fffff,EARLY,47,2.03,reference
892a100894fffff,EVE,136,5.96,reference
892a100894fffff,MD,250,11.0,reference
892a100894fffff,NIGHT,36,1.55,reference
892a100894fffff,PM,395,17.4,reference
892a1008953ffff,AM,254,11.17,reference
892a1008953ffff,EARLY,53,2.3,reference
892a1008953ffff,EVE,246,10.82,reference
892a1008953ffff,MD,300,13.21,reference
892a1008953ffff,NIGHT,31,1.33,reference
892a1008953ffff,PM,463,20.41,reference
892a100895bffff,AM,155,6.8,reference
892a100895bffff,EARLY,41,1.77,reference
892a100895bffff,EVE,196,8.61,reference
892a100895bffff,MD,197,8.66,reference
892a100895bffff,NIGHT,33,1.41,reference
892a100895bffff,PM,233,10.25,reference
892a1008963ffff,AM,216,9.5,reference
892a1008963ffff,EARLY,34,1.46,reference
892a1008963ffff,EVE,351,15.46,reference
892a1008963ffff,MD,513,22.61,reference
892a1008963ffff,NIGHT,27,1.15,reference
892a1008963ffff,PM,772,34.05,reference
892a1008967ffff,AM,150,6.58,reference
892a1008967ffff,EARLY,39,1.68,reference
892a1008967ffff,EVE,182,7.99,reference
892a1008967ffff,MD,203,8.92,reference
892a1008967ffff,NIGHT,41,1.77,reference
892a1008967ffff,PM,294,12.94,reference
892a1008973ffff,AM,82,3.58,reference
892a1008973ffff,EARLY,9,0.35,reference
892a1008973ffff,EVE,194,8.52,reference
892a1008973ffff,MD,321,14.13,reference
892a1008973ffff,NIGHT,6,0.22,reference
892a1008973ffff,PM,484,21.33,reference
892a1008977ffff,AM,157,6.89,reference
892a1008977ffff,EARLY,38,1.63,reference
892a1008977ffff,EVE,155,6.8,reference
892a1008977ffff,MD,166,7.29,reference
892a1008977ffff,NIGHT,26,1.1,reference
892a1008977ffff,PM,304,13.38,reference
892a1008983ffff,AM,113,4.95,reference
892a1008983ffff,EARLY,79,3.45,reference
892a1008983ffff,EVE,176,7.73,reference
892a1008983ffff,MD,137,6.01,reference
892a1008983ffff,NIGHT,24,1.02,reference
892a1008983ffff,PM,179,7.86,reference
892a1008987ffff,AM,71,3.09,reference
892a1008987ffff,EARLY,33,1.41,reference
892a1008987ffff,EVE,90,3.93,reference
892a1008987ffff,MD,114,4.99,reference
892a1008987ffff,NIGHT,14,0.57,reference
892a1008987ffff,PM,99,4.33,reference
892a100898bffff,AM,138,6.05,reference
892a100898bffff,EARLY,33,1.41,reference
892a100898bffff,EVE,75,3.27,reference
892a100898bffff,MD,109,4.77,reference
892a100898bffff,NIGHT,3,0.09,reference
892a100898bffff,PM,146,6.4,reference
892a1008993ffff,AM,32,1.37,reference
892a1008993ffff,EARLY,15,0.62,reference
892a1008993ffff,EVE,41,1.77,reference
892a1008993ffff,MD,56,2.43,reference
892a1008993ffff,NIGHT,4,0.13,reference
892a1008993ffff,PM,41,1.77,reference
892a1008997ffff,AM,173,7.6,reference
892a1008997ffff,EARLY,87,3.8,reference
892a1008997ffff,EVE,243,10.69,reference
892a1008997ffff,MD,232,10.2,reference
892a1008997ffff,NIGHT,33,1.41,reference
892a1008997ffff,PM,254,11.17,reference
892a100899bffff,AM,165,7.24,reference
892a100899bffff,EARLY,43,1.86,reference
892a100899bffff,EVE,201,8.83,reference
892a100899bffff,MD,184,8.08,reference
892a100899bffff,NIGHT,20,0.84,reference
892a100899bffff,PM,326,14.36,reference
892a10089a3ffff,AM,187,8.22,reference
892a10089a3ffff,EARLY,60,2.61,reference
892a10089a3ffff,EVE,122,5.34,reference
892a10089a3ffff,MD,113,4.95,reference
892a10089a3ffff,NIGHT,21,0.88,reference
892a10089a3ffff,PM,191,8.39,reference
