survey_date,period,avg_temperature_f,precip_mm,avg_wind_kmh,dominant_weather_code,weather_category
2026-07-12,PM,96.275,0.0,25.175,0.0,clear
2026-07-13,AM,74.56666666666666,0.0,14.866666666666667,1.0,partly_cloudy
2026-07-13,EARLY,75.51428571428572,0.0,15.228571428571428,2.0,partly_cloudy
2026-07-13,EVE,88.8,0.0,6.725,3.0,partly_cloudy
2026-07-13,MD,84.19999999999999,0.0,16.15,3.0,partly_cloudy
2026-07-13,NIGHT,84.65,0.0,4.0,3.0,partly_cloudy
2026-07-13,PM,90.7,0.0,21.475,3.0,partly_cloudy
2026-07-14,AM,80.63333333333333,0.0,17.8,3.0,partly_cloudy
2026-07-14,EARLY,81.25714285714285,0.0,12.05714285714286,3.0,partly_cloudy
2026-07-14,EVE,87.2,0.0,21.875,2.0,partly_cloudy
2026-07-14,MD,90.0,0.0,20.8,3.0,partly_cloudy
2026-07-14,NIGHT,80.44999999999999,0.0,20.75,0.0,clear
2026-07-14,PM,95.325,0.0,25.55,3.0,partly_cloudy
2026-07-15,AM,70.26666666666667,0.0,22.46666666666667,0.0,clear
2026-07-15,EARLY,72.81428571428572,0.0,18.5,0.0,clear
2026-07-15,EVE,79.33333333333333,0.0,22.366666666666664,0.0,clear
2026-07-15,MD,79.15,0.0,23.475,1.0,partly_cloudy
2026-07-15,NIGHT,,0.0,,,unknown
2026-07-15,PM,83.925,0.0,25.35,0.0,clear
