h3_cell,period,mta_ridership_total,mta_ridership_avg,mta_station_count,mta_transfers_total,mta_load_score,survey_date
892a1008997ffff,EVE,1758.0,70.32,1,78.0,4.18,reference
892a1008997ffff,MD,2390.0,91.92307692307692,1,189.0,5.7,reference
892a1008997ffff,NIGHT,327.0,25.153846153846157,1,5.0,0.72,reference
892a1008997ffff,PM,3807.0,126.9,1,213.0,9.12,reference
892a10089abffff,AM,6624.0,348.63157894736844,1,115.0,15.92,reference
892a10089abffff,EARLY,630.0,21.0,1,10.0,1.46,reference
892a10089abffff,EVE,3124.0,120.15384615384616,1,79.0,7.47,reference
892a10089abffff,MD,2847.0,113.88,1,74.0,6.81,reference
892a10089abffff,NIGHT,556.0,42.76923076923077,1,2.0,1.28,reference
892a10089abffff,PM,4866.0,173.78571428571428,1,158.0,11.68,reference
892a1008b83ffff,AM,2333.0,129.61111111111111,1,81.0,5.56,reference
892a1008b83ffff,EARLY,265.0,13.25,1,8.0,0.57,reference
892a1008b83ffff,EVE,2341.0,97.54166666666669,1,124.0,5.58,reference
892a1008b83ffff,MD,1961.0,89.13636363636364,1,99.0,4.67,reference
892a1008b83ffff,NIGHT,425.0,38.63636363636363,1,20.0,0.96,reference
892a1008b83ffff,PM,3491.0,145.45833333333334,1,210.0,8.36,reference
892a1008ba3ffff,AM,1280.0,75.29411764705883,1,30.0,3.02,reference
892a1008ba3ffff,EARLY,106.0,7.066666666666666,1,3.0,0.19,reference
892a1008ba3ffff,EVE,2177.0,94.65217391304348,1,51.0,5.19,reference
892a1008ba3ffff,MD,1629.0,67.875,1,37.0,3.87,reference
892a1008ba3ffff,NIGHT,208.0,29.714285714285715,1,8.0,0.44,reference
892a1008ba3ffff,PM,3395.0,135.8,1,130.0,8.13,reference
892a1008bafffff,AM,2271.0,133.58823529411765,1,70.0,5.42,reference
892a1008bafffff,EARLY,355.0,11.451612903225806,1,5.0,0.79,reference
892a1008bafffff,EVE,3201.0,128.04,1,149.0,7.66,reference
892a1008bafffff,MD,2094.0,87.25,1,83.0,4.99,reference
892a1008bafffff,NIGHT,644.0,53.66666666666666,1,27.0,1.49,reference
892a1008bafffff,PM,5762.0,213.40740740740745,1,297.0,13.84,reference
892a1008bbbffff,AM,6677.0,303.5,1,126.0,16.05,reference
892a1008bbbffff,EARLY,831.0,28.655172413793103,1,17.0,1.94,reference
892a1008bbbffff,EVE,6319.0,243.03846153846155,1,156.0,15.18,reference
892a1008bbbffff,MD,4545.0,181.8,1,118.0,10.9,reference
892a1008bbbffff,NIGHT,1273.0,90.92857142857144,1,23.0,3.01,reference
