zone_id,h3_cell,weight
4,892a1072cc7ffff,0.05263157894736842
4,892a1072cc3ffff,0.05263157894736842
4,892a1072ccfffff,0.05263157894736842
4,892a1072c1bffff,0.05263157894736842
4,892a1072c13ffff,0.05263157894736842
4,892a1072c8bffff,0.05263157894736842
4,892a1072cd7ffff,0.05263157894736842
4,892a1072cd3ffff,0.05263157894736842
4,892a1072cdbffff,0.05263157894736842
4,892a1072ccbffff,0.05263157894736842
4,892a1072c53ffff,0.05263157894736842
4,892a1072c57ffff,0.05263157894736842
4,892a1072c0bffff,0.05263157894736842
4,892a1072c03ffff,0.05263157894736842
4,892a1072c17ffff,0.05263157894736842
4,892a1072c8fffff,0.05263157894736842
4,892a1072c83ffff,0.05263157894736842
4,892a1072c9bffff,0.05263157894736842
4,892a100d26fffff,0.05263157894736842
12,892a10725b3ffff,0.05263157894736842
12,892a1072587ffff,0.05263157894736842
12,892a10725bbffff,0.05263157894736842
12,892a10725a3ffff,0.05263157894736842
12,892a10725b7ffff,0.05263157894736842
12,892a100d64fffff,0.05263157894736842
12,892a100d64bffff,0.05263157894736842
12,892a1072597ffff,0.05263157894736842
12,892a1072583ffff,0.05263157894736842
12,892a107258fffff,0.05263157894736842
12,892a1072517ffff,0.05263157894736842
12,892a10725abffff,0.05263157894736842
12,892a10725afffff,0.05263157894736842
12,892a10725a7ffff,0.05263157894736842
12,892a100d66bffff,0.05263157894736842
12,892a100d67bffff,0.05263157894736842
12,892a100d647ffff,0.05263157894736842
12,892a100d643ffff,0.05263157894736842
12,892a100d65bffff,0.05263157894736842
13,892a100d2d3ffff,0.05263157894736842
13,892a10725a7ffff,0.05263157894736842
13,892a100d2dbffff,0.05263157894736842
13,892a100d2c3ffff,0.05263157894736842
13,892a100d2d7ffff,0.05263157894736842
13,892a100d66fffff,0.05263157894736842
13,892a100d66bffff,0.05263157894736842
13,892a10725b7ffff,0.05263157894736842
13,892a10725a3ffff,0.05263157894736842
13,892a10725afffff,0.05263157894736842
13,892a1072537ffff,0.05263157894736842
13,892a100d2cbffff,0.05263157894736842
